title,link,summary,keywords
Prolonged Exposure to Microgravity Reduces Cardiac Contractility and Initiates Remodeling in Drosophila,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7787258/,"Prolonged microgravity exposure reduces cardiac contractility and initiates remodeling in Drosophila, affecting heart structure and function.",microgravity; Drosophila; cardiac contractility; heart remodeling; proteostasis; RNA sequencing; sarcomeric genes; extracellular matrix genes; proteasomal genes; amyloid deposits; polyQ deposits; long-QT causing mutants.
Regulation of plant gravity sensing and signaling by the actin cytoskeleton.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8716943/,"The actin cytoskeleton plays a crucial role in plant root growth by integrating environmental stimuli and hormonal pathways, affecting cell division, elongation, and protein trafficking.",actin cytoskeleton; plant roots; cell division; elongation; protein trafficking; hormones; gravity; auxin; light.
Brassinosteroids inhibit autotropic root straightening by modifying filamentous-actin organization and dynamics.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7010715/,"Brassinosteroids inhibit autotropic root straightening, enhancing root gravitropism through F-actin modification.",brassinosteroids; F-actin; gravitropism; plant hormones; root growth.
Cell type-specific imaging of calcium signaling in Arabidopsis thaliana seedling roots using GCaMP3.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7503278/,Researchers created Arabidopsis thaliana lines with GCaMP3 in five root cell types to study unique calcium responses.,calcium signaling; Arabidopsis thaliana; GCaMP3; root cell types; environmental stimuli
Spatial and temporal localization of SPIRRIG and WAVE/SCAR reveal roles for these proteins in actin-mediated root hair development.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8364238/,,space radiation; plant growth; development; damage
Microgravity Stress: Bone and Connective Tissue,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11579474/,"Long-term spaceflight causes bone density loss and immune system changes, but recovery varies depending on gravitational loading.",microgravity; bone density; immune system; spaceflight; gravity; mice; thymus; spleen; osteoblasts; osteoclasts; gene expression; International Space Station; lunar gravity.
S. aureus MscL is a pentamer in vivo but of variable stoichiometries in vitro: implications for detergent-solubilized membrane proteins,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2998437/,"In vitro, S. aureus MscL has variable channel stoichiometries due to detergent-induced rearrangements; however, it is a true pentamer in vivo.",S. aureus; MscL; membrane proteins; detergent; stoichiometry; X-ray crystallography; in vivo; pentamer.
Three routes to modulate the pore size of the MscL channel/nanovalve,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3289768/,"This study explores three methods to decrease the conductance of the MscL channel, a bacterial nanovalve, by manipulating its linker and cytoplasmic bundle.",MscL; nanovalve; bacterial channel; conductance; linker; cytoplasmic bundle; engineering; nanotechnology
Tardigrades Use Intrinsically Disordered Proteins to Survive Desiccation.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11127935/,"Tardigrades' unique intrinsically disordered proteins, called TDPs, help them survive desiccation by protecting various biological structures. SAHS proteins, a type of TDPs, prevent liposome fusion and enhance desiccation tolerance in bacteria.",tardigrades; intrinsically disordered proteins; TDPs; desiccation; SAHS proteins; structural transition; preservation; cells.
Desiccation of Hypsibius exemplaris,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11831363/,No information provided on the effects of desiccation on Hypsibius exemplaris.,desiccation; Hypsibius exemplaris; no information.
The biology of tardigrade disordered proteins in extreme stress tolerance.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11930778/,"Tardigrades, known for extreme survival strategies, utilize CAHS proteins to enhance resilience to hyperosmotic stress. These proteins share similarities with LEA proteins but differ in sequences and function.",tardigrades; anhydrobiosis; CAHS proteins; LEA proteins; hyperosmotic stress; cryoprotectants; extreme survival strategies.
Production of reactive oxygen species and involvement of bioprotectants during anhydrobiosis in the tardigrade Paramacrobiotus spatialis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8816950/,"Tardigrades, such as Paramacrobiotus spatialis, undergo biochemical changes during anhydrobiosis, including the production of reactive oxygen species (ROS) and the synthesis of bioprotectants, to combat desiccation stresses. The study confirms the role of glutathione peroxidase, glutathione reductase, catalase, aquaporins 3 and 10 in desiccation tolerance.",anhydrobiosis; tardigrades; reactive oxygen species; bioprotectants; desiccation stress; glutathione peroxidase; glutathione reductase; catalase; aquaporins; RNA interference.
"Partial reductions in mechanical loading yield proportional changes in bone density, bone architecture, and muscle mass",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4118556/,"Reduced mechanical loading in mice leads to proportional changes in bone density, bone architecture, and muscle mass.",mechanical loading; bone density; bone architecture; muscle mass; mice; partial weight suspension system; gait kinematics.
Spaceflight and hind limb unloading induce similar changes in electrical impedance characteristics of mouse gastrocnemius muscle,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4653813/,"Spaceflight and hind limb unloading reduce muscle fiber size, as indicated by electrical impedance myography (EIM) measurements.",spaceflight; hind limb unloading; electrical impedance myography (EIM); muscle fiber size; microgravity
Spaceflight Activates Lipotoxic Pathways in Mouse Liver,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6915713/,"Spaceflight activates lipotoxic pathways in mouse livers, causing lipid accumulation and altering metabolic processes.",spaceflight; mice; liver; lipid metabolism; lipotoxicity; RNA-sequencing; proteomics; Glucagon; Insulin.
Treatment with a soluble bone morphogenetic protein type 1A receptor (BMPR1A) fusion protein increases bone mass and bone formation in mice subjected to hindlimb unloading.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6124165/,Treatment with a soluble BMPR1A fusion protein increases bone mass and bone formation in mice subjected to hindlimb unloading.,bone mass; bone formation; hindlimb unloading; mice; BMPR1A fusion protein
RNAseq and RNA molecular barcoding reveal differential gene expression in cortical bone following hindlimb unloading in female mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8509868/,"Hindlimb unloading in female mice alters cortical bone gene expression, particularly genes related to Wnt signaling and metabolism.",bone loss; disuse; gene expression; hindlimb unloading; mice; RNAseq; Wnt signaling
Proteomic and phosphoproteomic characterization of cardiovascular tissues after long term exposure to simulated space radiation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11063234/,"A single exposure to simulated space radiation alters the proteome and phosphoproteome of cardiovascular tissues, leading to long-lasting changes and potential health issues, including cardiac dysfunction and inflammation.",space radiation; cardiovascular tissues; proteome; phosphoproteome; inflammation; late cardiac dysfunction; neutrophil extracellular traps (NETs)
Adaptive Changes in the Vestibular System of Land Snail to a 30-Day Spaceflight and Readaptation on Return to Earth,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5672023/,"The land snail Helix lucorum adapts to and readapts from 30 days of spaceflight, altering its vestibular system's responses to gravity.",land snail; Helix lucorum; vestibular system; spaceflight; gravity; adaptation; readaptation; Bion-M1 satellite; geotactic behavior; statocyst transcriptome; electrophysiological responses; mechanoreceptors; tilt responses.
"Morphology of the Utricular Otolith Organ in the Toadfish, Opsanus tau",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5899691/,"The utricle of the adult oyster toadfish is described through various microscopy techniques, revealing its sensory epithelium, neural innervation, and synaptic organization. Key observations include a defined striola, zonal hair bundle organization, narrow afferent dendritic fields, and synaptic specializations.",utricle; oyster toadfish; sensory epithelium; neural innervation; synaptic organization; hair cells; microscopy; striola; zonal organization; afferent dendritic fields; synaptic specializations.
"Influence of Magnitude and Duration of Altered Gravity and Readaptation to 1g on the Structure and Function of the Utricle in Toadfish, Opsanus tau.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6204554/,"Exposure to altered gravity affects utricular afferents in toadfish, causing sensitivity changes that take time to recover.",gravity; altered gravity; utricular afferents; toadfish; sensitivity; recovery; microgravity; hypergravity; neural sensory systems; equilibrium.
Organization of the ER-Golgi interface for membrane traffic control.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4064004/,"The ER-Golgi interface, where COPI and COPII facilitate bidirectional membrane trafficking, varies in organization across eukaryotic cells. Regulation of COPII assembly is crucial for managing distinct cellular cargo and determining this structure.",ER-Golgi interface; COPI; COPII; membrane trafficking; secretory pathway; regulation; eukaryotic cells; organization; cellular cargo.
IRE1: ER stress sensor and cell fate executor.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3818365/,"IRE1, an ER stress sensor, activates the unfolded protein response (UPR) to maintain cellular function and can initiate apoptosis in mammals.",IRE1; ER stress; unfolded protein response; cellular function; apoptosis; mammals; plants; species comparison; UPR research.
Inter-regulation of the unfolded protein response and auxin signaling.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3981873/,"ER stress triggers down-regulation of auxin sensors and transporters, affecting auxin homeostasis and UPR activation in plants.",unfolded protein response; ER stress; auxin; phytohormone; plant physiology; IRE1; Arabidopsis thaliana; ER-stress sensor; auxin transporters; PIN5; hormone-dependent strategy; plant UPR.
Endoplasmic reticulum-shape and function in stress translation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4150462/,The endoplasmic reticulum (ER) adapts its shape and function in response to stress.,endoplasmic reticulum; stress; shape; function; adaptation
"Unfolded protein response in plants: one master, many questions.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4618186/,"The unfolded protein response (UPR) in plants involves ER stress sensors activating distinct signaling pathways to protect cells from stress. Recent discoveries in plant UPR reveal conserved and unique features, but many questions remain unanswered.",unfolded protein response; ER stress; plant; signaling pathways; cytoprotective response; plant ER stress management
Maintaining the factory: The roles of the unfolded protein response in cellular homeostasis in plants.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5415411/,"The unfolded protein response (UPR) in plants enhances protein folding capacity in the endoplasmic reticulum to cope with environmental stresses and ensure proper cellular delivery of protein products, impacting growth, development, and stress responses.",unfolded protein response; endoplasmic reticulum; protein folding; plants; stress responses; growth; development.
NADPH oxidase activity is required for ER stress survival in plants.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6289879/,"In Arabidopsis thaliana, RBOHD and RBOHF generate ROS during ER stress to support the unfolded protein response and promote survival.",Arabidopsis thaliana; ER stress; unfolded protein response; ROS; RBOHD; RBOHF
Reanalysis of the Mars500 experiment reveals common gut microbiome alterations in astronauts induced by long-duration confinement,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8099722/,Long-term confinement in space missions alters gut microbiome in astronauts.,astronauts; gut microbiome; Mars500; space missions; confinement; microbiology; alterations
"High atomic weight, high-energy radiation (HZE) induces transcriptional responses shared with conventional stresses in addition to a core ""DSB"" response specific to clastogenic treatments",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5116466/,"High atomic weight, high-energy radiation (HZE) induces transcriptional responses similar to conventional stresses, as well as a unique ""DSB"" response.","high atomic weight, high-energy radiation; transcriptional responses; conventional stresses; DSB response"
Acceleration profiles and processing methods for parabolic flight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6081456/,"Parabolic flights offer cost-effective access to reduced gravity conditions for research; this study presents a solution for collecting, analyzing, and classifying altered gravity environments during parabolic flights.",parabolic flights; reduced gravity; research; acceleration profiles; processing methods; gravito-inertial accelerations; data availability; space activities.
Cytoskeleton structure and total methylation of mouse cardiac and lung tissue during space flight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5955502/,Spaceflight causes significant changes in mRNA expression levels of cytoskeletal genes related to DNA methylation in mouse cardiac and lung tissue.,spaceflight; mice; cardiac tissue; lung tissue; cytoskeleton; DNA methylation; mRNA expression; Tet1; Tet2; Tet3; histone acetylase; histone deacetylase.
Toward countering muscle and bone loss with spaceflight: GSK3 as a potential target,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10285634/,"Spaceflight reduces GSK3 protein content and increases its phosphorylation in muscle and bone, leading to muscle loss and bone density decrease. Inhibiting GSK3 before muscle fiber shift and bone unloading can counteract these effects.",spaceflight; muscle; bone; GSK3; protein; phosphorylation; muscle mass; muscle strength; fiber type; bone mineral density; hindlimb unloading.
Spaceflight increases sarcoplasmic reticulum Ca2+ leak and this cannot be counteracted with BuOE treatment,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11271499/,"Spaceflight causes muscle atrophy and increased SR Ca2+ leak, which cannot be reversed by antioxidant treatment.",microgravity; muscle; atrophy; Ca2+; SERCA; antioxidant; spaceflight; SR leak; RONS
Cardiovascular progenitor cells cultured aboard the International Space Station exhibit altered developmental and functional properties,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6062551/,"Cardiovascular progenitor cells (CPCs) cultured in space exhibit altered gene expression and developmental properties, including changes in microRNAs, cytoskeletal genes, and DNA repair genes.",cardiovascular progenitor cells; microRNAs; gene expression; spaceflight; cytoskeleton; DNA repair; developmental properties.
Inter-agency perspective: Translating advances in biomarker discovery and medical countermeasures development between terrestrial and space radiation environments,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9832585/,"Government agencies collaborate to advance research on radiation-induced biological effects, protecting normal tissues and developing medical countermeasures for cancer patients, civilians, and astronauts.",radiation; biological effects; normal tissues; cancer patients; civilians; astronauts; medical countermeasures; research funding; National Cancer Institute (NCI); National Institute of Allergy and Infectious Diseases (NIAID); National Aeronautics and Space Administration (NASA)
Genomic and functional characterization of Enterococcus faecalis isolates recovered from the International Space Station and their potential for pathogenicity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7829349/,"Enterococcus faecalis isolates from the ISS were assessed for potential health risks to astronauts. Genomic and functional analyses revealed similarities to clinical and commensal strains, but further experimentation is needed to determine their pathogenicity.",Enterococcus faecalis; International Space Station; astronaut health; genomic analysis; functional analysis; antibiotic resistance; virulence traits; Caenorhabditis elegans; pathogenicity.
Evaluation of in vitro macrophage differentiation during space flight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3570223/,"Spaceflight influences macrophage development from mouse bone marrow cells, affecting gene expression and proliferation.",spaceflight; macrophages; mouse bone marrow; gene expression; proliferation; M-CSF; c-Fms; CD11b; CD31; F4/80; Mac2; Ly6C; c-Fos; coagulation pathway.
Ehrlichia chaffeensis replication sites in adult Drosophila melanogaster.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3558598/,Ehrlichia chaffeensis replicates in Drosophila hemocytes and fat body.,Ehrlichia chaffeensis; Drosophila melanogaster; hemocytes; fat body; bacterial replication; Uridine cytidine kinase; separation anxiety.
Development and characterization of two porcine monocyte-derived macrophage cell lines.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11046949/,"Two compounds, tetrandrine and berbamine, inhibit African swine fever virus (ASFV) infection in porcine macrophages (PAMs) and reduce pro-inflammatory cytokine production.",African swine fever virus (ASFV); porcine macrophages (PAMs); natural compounds; antiviral; anti-inflammatory; tetrandrine; berbamine; pro-inflammatory cytokines.
Understanding macrophage differentiation during space flight: The importance of ground-based experiments before space flight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3890248/,"Two culture systems were used to investigate macrophage differentiation from mouse bone marrow cells in space flight preparation. Horizontal orientation in FPAs and horizontal, x-axis plane rotation in the Techshot bioreactor led to highest macrophage recovery and differentiation.",macrophages; bone marrow; culture systems; space flight; differentiation; FPAs; Techshot bioreactor; orientation; recovery; F4/80; markers.
Validation of methods to assess the immunoglobulin gene repertoire in tissues obtained from mice on the International Space Station.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5736159/,"Spaceflight impacts mouse antibody repertoire, necessitating validation of sample collection and storage methods for characterization using Next Generation Sequencing and bioinformatic tools.",spaceflight; immune cells; antibody repertoire; Next Generation Sequencing; bioinformatics; validation; mice; IgH; Ig&#954;; sample preparation; storage.
Characterization of the naive murine antibody repertoire using unamplified high-throughput sequencing,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5761896/,"This study analyzed the antibody repertoire of unimmunized adult female C57BL/6J mice using high-throughput sequencing without amplification. Over 90,000 heavy-chain and 135,000 light-chain sequences were recovered, revealing uniform usage of individual gene segments but highly varied CDR3 sequences.",antibody; repertoire; high-throughput sequencing; gene segments; CDR3; mice; immunoglobulin; non-primer biased.
Effects of spaceflight on the immunoglobulin repertoire of unimmunized C57BL/6 mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5826609/,Spaceflight does not significantly alter the B-cell immunoglobulin repertoire of unimmunized C57BL/6 mice during short-term ISS missions.,spaceflight; immunoglobulins; B-cells; repertoire; gene segments; mutations; mice; ISS; high-throughput sequencing technology.
A comparison of unamplified and massively multiplexed PCR amplification for murine antibody repertoire sequencing.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6366624/,"Spaceflight negatively affects human bone health, increasing risk of bone loss and fractures.",spaceflight; human bone health; bone loss; fractures
Effects of skeletal unloading on the antibody repertoire of tetanus toxoid and/or CpG treated C57BL/6J mice.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11929063/,"TAK-754, an AAV8-based human FVIII gene therapy vector, increases FVIII activity and reduces blood loss in mice. It shows long-term and stable expression, minimal integration, and no adverse effects or preferred integrations in cancer-related genes.",AAV8; human FVIII; gene therapy; hemophilia A; TAK-754; liver-specific promoter; plasma FVIII activity; hemostatic efficacy; toxicology; biodistribution; integration site analysis; C57BL/6J mice.
